,Term Pair,Co-occurrence Count
0,Harassment - Night,1569
1,Harassment - Woman,1435
2,Night - Woman,1194
3,Night - Security,820
4,Security - Woman,793
5,Girl - Harassment,671
6,Harassment - Morning,646
7,Harassment - Unsafe,635
8,Harassment - Security,608
9,Night - Unsafe,574
10,Unsafe - Woman,571
11,Harassment - Park,491
12,Girl - Night,460
13,Harassment - Man,425
14,Man - Woman,416
15,Catcall - Harassment,409
16,Evening - Security,407
17,Harassment - Street,401
18,Night - Park,350
19,Park - Woman,346
20,Morning - Woman,339
21,Security - Unsafe,332
22,Catcall - Woman,330
23,Street - Woman,323
24,Harassment - Metro,323
