Username,Date,Tweet Text,Hashtags,Mentions,Date_parsed,Year,Month,Day,Hour,DayOfWeek,WeekDayName,Season,YearMonth,Iran_Relevance
free146,"Feb 12, 2025",گزارش: ساعت ۸ صبح در پارک شیراز حادثه تماس فیزیکی ناخواسته رخ داد. قربانی دختر و متهم مهاجم بوده. در اماکن عمومی هیچ نظارتی نیست. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2025-02-12,2025,2,12,0,2,Wednesday,Winter,2025-02,Iran
student536,"Aug 26, 2025",وقتی صبح در حیاط مدرسه بابل سوت زدن و متلک اتفاق می‌افته و کسی واکنش نشون نمیده، در ساعات روز هم این اتفاق‌ها میفته. همه مسئولیم محیط کاری رو امن‌تر کنیم.,,,2025-08-26,2025,8,26,0,1,Tuesday,Summer,2025-08,Iran
eskepticalll,"Nov 11, 2025",هرچیزی می‌تونه تریگر باشه. یک نخ ماری‌جوانا، شکست عشقی، سیلی خوردن از پدر پیش از ظهر در اصفهان، تجربه آزار جنسی و ... . هیچ اختلال روانی‌‌ای رو نمیشه فرموله و وابسته به یک یا دو عامل کرد.,,,2025-11-11,2025,11,11,0,1,Tuesday,Fall,2025-11,Iran
dana_medrick,"Aug 03, 2024","کانادا مطالعه سال 2014: نظرسنجی ""General Social Survey"" کانادا نشان داد که حدود 33٪ از زنان و 12٪ از مردان کانادایی تجربه آزار جنسی دارند.",,,2024-08-03,2024,8,3,0,5,Saturday,Summer,2024-08,Foreign
Bridgesforwoman,"Dec 28, 2018",به گزارش مجله تایم شرکت #اوبر به نقض قوانین و مقررات مربوط به آزار جنسی متهم شد. البته در بیشتر موارد، راننده‌های مرد به #آزار_جنسی مسافران زن متهم شده بودند و اوبر یا شکایت مسافرها را جدی نگرفته بود یا تغییری در مقررات شرکت نداده بود. در #پل‌ها بخوانید,"اوبر,آزار_جنسی,پل",,2018-12-28,2018,12,28,0,4,Friday,Winter,2018-12,Ambiguous
hossein2617,"Apr 27, 2021",واقعاً خسته شدم. ظهر اتوبوس شهری برمپتون کانادا دوبار نزدیک شدن ناخواسته شدم. در ساعات روز هم این اتفاق‌ها میفته. مکان‌های عمومی شهر ناامن هستند.,,right_sara,2021-04-27,2021,4,27,0,1,Tuesday,Spring,2021-04,Foreign
mohsen678,"Jun 20, 2023",واقعاً خسته شدم. صبح حدود ساعت ۸ در پارک شهر کرمان دوبار تماس فیزیکی ناخواسته شدم. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,,2023-06-20,2023,6,20,0,1,Tuesday,Summer,2023-06,Iran
ZanZendegi2201,"Mar 14, 2025",شجاعت بخشی از کرامت انسانی است بخشی از هویت ایرانی است,,,2025-03-14,2025,3,14,0,4,Friday,Spring,2025-03,Iran
amir741,"Jun 13, 2023",دادگاه: استاد مرتکب آزار جنسی کلامی زن در دانشگاه شریف شهر مهاباد شده. حادثه ساعت ۸ صبح بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,مهاباد,,2023-06-13,2023,6,13,0,1,Tuesday,Summer,2023-06,Iran
Xerxes_013,"Sep 05, 2025",@seyedhojjat133 چرا دلت میخواد به کسی که اجدادت رو اعدام کرده و گردن زده و به مادران و دختران ایران تجاوز کرده و به کنیزی برده غلامی کنی؟؟ چرا دلت میخواد جاکش اعراب باشی بیغیرت، اعراب نجس به ایران حمله کردن ولی توی سگپدر داری براشون جاکشی میکنی، خاک برسرت عصر,,seyedhojjat133,2025-09-05,2025,9,5,0,4,Friday,Fall,2025-09,Iran
women456,"Mar 10, 2018",دادگاه: مرد ناشناس مرتکب تفقی کودک در رستوران ریاض شده. حادثه ساعت ۱۲ ظهر بوده. فضای عمومی باید برای همه امن باشه.,حقوق_زنان,,2018-03-10,2018,3,10,0,5,Saturday,Spring,2018-03,Ambiguous
shirin106,"Aug 22, 2022",پلیس از بازداشت متهم متلک جنسی زن جوان خبر داد. حادثه بعدازظهر رستوران کرمانشاه رخ داده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,"آزار_کلامی,زن_زندگی_آزادی",mina196,2022-08-22,2022,8,22,0,0,Monday,Summer,2022-08,Iran
voice2425,"Apr 23, 2019",گزارش: ساعت ۱۷ عصر در خیابان فردوسی کرج حادثه تماس فیزیکی ناخواسته رخ داد. قربانی دختر جوان و متهم عابر پیاده بوده. در اماکن عمومی هیچ نظارتی نیست. غروب وقت گذار بین امنیت روز و ناامنی شب.,خیابان_ناامن,,2019-04-23,2019,4,23,0,1,Tuesday,Spring,2019-04,Iran
mehdi947,"Jul 14, 2023",بازداشت متهم تفقی در یاسوج. حادثه ظهر حدود ساعت ۱۲ در خوابگاه دانشجویی شهر یاسوج رخ داده. قربانی زن گزارش داده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,,,2023-07-14,2023,7,14,0,4,Friday,Summer,2023-07,Ambiguous
mehdi2172,"Jan 26, 2019",#آزار_بس! بعدازظهر حدود ساعت ۱۵ در خیابان شهر مشهد زنی آزار جنسی فیزیکی شد. روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید امن‌تر بشه.,زن_زندگی_آزادی,,2019-01-26,2019,1,26,0,5,Saturday,Winter,2019-01,Iran
reza88,"Aug 01, 2024",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: پیش از ظهر حدود ساعت ۱۰ ایستگاه اتوبوس یاسوج دختری آزار جنسی کلامی شده. روزها هم آزار جنسی خیلی زیاده.,,,2024-08-01,2024,8,1,0,3,Thursday,Summer,2024-08,Ambiguous
life8846,"Jan 10, 2022",شاهد حادثه آزار جنسی کلامی در محل سکونت شهر تهران بودم. شب حدود ساعت ۲۱ دختری کمک می‌خواست ولی... بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. فضای خانگی باید تغییر کنه.,خشونت_خانگی,human4233,2022-01-10,2022,1,10,0,0,Monday,Winter,2022-01,Iran
right2865,"Sep 18, 2019",شاهد حادثه تهدید جنسی در سینما رشت بودم. بعدازظهر زنی کمک می‌خواست ولی... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید تغییر کنه.,آزار_جنسی,"watch854,maryam784",2019-09-18,2019,9,18,0,2,Wednesday,Fall,2019-09,Iran
persian_news,"Apr 12, 2023",نمیدونم چی بگم. عصر پارک اصفهان مرد بهم سوت زدن و متلک کرد. فضای عمومی باید برای همه امن باشه. غروب وقت گذار بین امنیت روز و ناامنی شب.,,,2023-04-12,2023,4,12,0,2,Wednesday,Spring,2023-04,Iran
right1475,"May 22, 2023",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ظهر حدود ساعت ۱۲ خیابان انقلاب مشهد زنی تهدید جنسی شده. در ساعات روز هم این اتفاق‌ها میفته.,,girl287,2023-05-22,2023,5,22,0,0,Monday,Spring,2023-05,Iran
girl698,"Feb 27, 2022",واقعاً خسته شدم. ساعت ۱۹ شب‌غروب هتل تهران بازم خیره شدن جنسی شنیدم. دانشجو قربانی بوده. ساعات شب خطر آزار جنسی بالاتره. مکان نیمه‌عمومی اصلاً امن نیست.,حقوق_زنان,,2022-02-27,2022,2,27,0,6,Sunday,Winter,2022-02,Iran
