Username,Date,Tweet Text,Hashtags,Mentions,Date_parsed,Year,Month,Day,Hour,DayOfWeek,WeekDayName,Season,YearMonth,Iran_Relevance,Event_Hour,Time_of_Day,Cities,Locations,Environment_Type,Harassment_Types,Emotions,Is_Victim_Blaming,Narrative_Type,Solutions,Inferred_Gender,Gender_Confidence,Men_Stance,Toxicity_Score_Original,Toxicity_Score
free146,"Feb 12, 2025",گزارش: ساعت ۸ صبح در پارک شیراز حادثه تماس فیزیکی ناخواسته رخ داد. قربانی دختر و متهم مهاجم بوده. در اماکن عمومی هیچ نظارتی نیست. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2025-02-12,2025,2,12,0,2,Wednesday,Winter,2025-02,Iran,8.0,Morning,['Shiraz'],['Park'],Public,['Physical Harassment'],['Neutral'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
student536,"Aug 26, 2025",وقتی صبح در حیاط مدرسه بابل سوت زدن و متلک اتفاق می‌افته و کسی واکنش نشون نمیده، در ساعات روز هم این اتفاق‌ها میفته. همه مسئولیم محیط کاری رو امن‌تر کنیم.,,,2025-08-26,2025,8,26,0,1,Tuesday,Summer,2025-08,Iran,,Morning,['Babol'],['School'],Organizational,"['Verbal Harassment', 'Institutional Harassment']",['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
eskepticalll,"Nov 11, 2025",هرچیزی می‌تونه تریگر باشه. یک نخ ماری‌جوانا، شکست عشقی، سیلی خوردن از پدر پیش از ظهر در اصفهان، تجربه آزار جنسی و ... . هیچ اختلال روانی‌‌ای رو نمیشه فرموله و وابسته به یک یا دو عامل کرد.,,,2025-11-11,2025,11,11,0,1,Tuesday,Fall,2025-11,Iran,,Afternoon,['Isfahan'],,Unknown,['Domestic/Family Harassment'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
mohsen678,"Jun 20, 2023",واقعاً خسته شدم. صبح حدود ساعت ۸ در پارک شهر کرمان دوبار تماس فیزیکی ناخواسته شدم. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,,2023-06-20,2023,6,20,0,1,Tuesday,Summer,2023-06,Iran,8.0,Morning,['Kerman'],['Park'],Public,['Physical Harassment'],['Neutral'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
ZanZendegi2201,"Mar 14, 2025",شجاعت بخشی از کرامت انسانی است بخشی از هویت ایرانی است,,,2025-03-14,2025,3,14,0,4,Friday,Spring,2025-03,Iran,,,,,Unknown,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
amir741,"Jun 13, 2023",دادگاه: استاد مرتکب آزار جنسی کلامی زن در دانشگاه شریف شهر مهاباد شده. حادثه ساعت ۸ صبح بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,مهاباد,,2023-06-13,2023,6,13,0,1,Tuesday,Summer,2023-06,Iran,8.0,Morning,['Mahabad'],"['University', 'Workplace']",Organizational,['Institutional Harassment'],['Neutral'],False,News/Report,,Male,0.9,Justification,0.0,0.0
Xerxes_013,"Sep 05, 2025",@seyedhojjat133 چرا دلت میخواد به کسی که اجدادت رو اعدام کرده و گردن زده و به مادران و دختران ایران تجاوز کرده و به کنیزی برده غلامی کنی؟؟ چرا دلت میخواد جاکش اعراب باشی بیغیرت، اعراب نجس به ایران حمله کردن ولی توی سگپدر داری براشون جاکشی میکنی، خاک برسرت عصر,,seyedhojjat133,2025-09-05,2025,9,5,0,4,Friday,Fall,2025-09,Iran,,Evening,,,Unknown,"['Sexual Assault/Rape', 'Domestic/Family Harassment']",['Neutral'],False,Public Opinion/Reshare,['Death Penalty'],Female,0.7,,0.3,0.3
shirin106,"Aug 22, 2022",پلیس از بازداشت متهم متلک جنسی زن جوان خبر داد. حادثه بعدازظهر رستوران کرمانشاه رخ داده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,"آزار_کلامی,زن_زندگی_آزادی",mina196,2022-08-22,2022,8,22,0,0,Monday,Summer,2022-08,Iran,,Afternoon,"['Kermanshah', 'Kerman']",['Prison'],Organizational,['Verbal Harassment'],['Neutral'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
voice2425,"Apr 23, 2019",گزارش: ساعت ۱۷ عصر در خیابان فردوسی کرج حادثه تماس فیزیکی ناخواسته رخ داد. قربانی دختر جوان و متهم عابر پیاده بوده. در اماکن عمومی هیچ نظارتی نیست. غروب وقت گذار بین امنیت روز و ناامنی شب.,خیابان_ناامن,,2019-04-23,2019,4,23,0,1,Tuesday,Spring,2019-04,Iran,17.0,Evening,['Karaj'],['Street'],Public,['Physical Harassment'],['Fear'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
mehdi2172,"Jan 26, 2019",#آزار_بس! بعدازظهر حدود ساعت ۱۵ در خیابان شهر مشهد زنی آزار جنسی فیزیکی شد. روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید امن‌تر بشه.,زن_زندگی_آزادی,,2019-01-26,2019,1,26,0,5,Saturday,Winter,2019-01,Iran,15.0,Afternoon,['Mashhad'],['Street'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Male,0.9,Neutral/Unclassified,0.0,0.0
