Username,Date,Tweet Text,Hashtags,Mentions
free146,"Feb 12, 2025",گزارش: ساعت ۸ صبح در پارک شیراز حادثه تماس فیزیکی ناخواسته رخ داد. قربانی دختر و متهم مهاجم بوده. در اماکن عمومی هیچ نظارتی نیست. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,
student536,"Aug 26, 2025",وقتی صبح در حیاط مدرسه بابل سوت زدن و متلک اتفاق می‌افته و کسی واکنش نشون نمیده، در ساعات روز هم این اتفاق‌ها میفته. همه مسئولیم محیط کاری رو امن‌تر کنیم.,,
eskepticalll,"Nov 11, 2025",هرچیزی می‌تونه تریگر باشه. یک نخ ماری‌جوانا، شکست عشقی، سیلی خوردن از پدر پیش از ظهر در اصفهان، تجربه آزار جنسی و ... . هیچ اختلال روانی‌‌ای رو نمیشه فرموله و وابسته به یک یا دو عامل کرد.,,
dana_medrick,"Aug 03, 2024","کانادا مطالعه سال 2014: نظرسنجی ""General Social Survey"" کانادا نشان داد که حدود 33٪ از زنان و 12٪ از مردان کانادایی تجربه آزار جنسی دارند.",,
Bridgesforwoman,"Dec 28, 2018",به گزارش مجله تایم شرکت #اوبر به نقض قوانین و مقررات مربوط به آزار جنسی متهم شد. البته در بیشتر موارد، راننده‌های مرد به #آزار_جنسی مسافران زن متهم شده بودند و اوبر یا شکایت مسافرها را جدی نگرفته بود یا تغییری در مقررات شرکت نداده بود. در #پل‌ها بخوانید,"اوبر,آزار_جنسی,پل",
hossein2617,"Apr 27, 2021",واقعاً خسته شدم. ظهر اتوبوس شهری برمپتون کانادا دوبار نزدیک شدن ناخواسته شدم. در ساعات روز هم این اتفاق‌ها میفته. مکان‌های عمومی شهر ناامن هستند.,,right_sara
mohsen678,"Jun 20, 2023",واقعاً خسته شدم. صبح حدود ساعت ۸ در پارک شهر کرمان دوبار تماس فیزیکی ناخواسته شدم. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,
ZanZendegi2201,"Mar 14, 2025",شجاعت بخشی از کرامت انسانی است بخشی از هویت ایرانی است,,
amir741,"Jun 13, 2023",دادگاه: استاد مرتکب آزار جنسی کلامی زن در دانشگاه شریف شهر مهاباد شده. حادثه ساعت ۸ صبح بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,مهاباد,
Xerxes_013,"Sep 05, 2025",@seyedhojjat133 چرا دلت میخواد به کسی که اجدادت رو اعدام کرده و گردن زده و به مادران و دختران ایران تجاوز کرده و به کنیزی برده غلامی کنی؟؟ چرا دلت میخواد جاکش اعراب باشی بیغیرت، اعراب نجس به ایران حمله کردن ولی توی سگپدر داری براشون جاکشی میکنی، خاک برسرت عصر,,seyedhojjat133
women456,"Mar 10, 2018",دادگاه: مرد ناشناس مرتکب تفقی کودک در رستوران ریاض شده. حادثه ساعت ۱۲ ظهر بوده. فضای عمومی باید برای همه امن باشه.,حقوق_زنان,
shirin106,"Aug 22, 2022",پلیس از بازداشت متهم متلک جنسی زن جوان خبر داد. حادثه بعدازظهر رستوران کرمانشاه رخ داده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,"آزار_کلامی,زن_زندگی_آزادی",mina196
